movie_id,title,overview,genres,keywords
1,The Dark Knight,Batman must face a new villain who wants to plunge the city into anarchy.,action|crime|drama,superhero|batman|joker|vigilante
2,Mad Max: Fury Road,A former cop leads a team across a wasteland to rescue a hostage.,action|adventure|sci-fi,post-apocalyptic|chase|action|dystopian
3,John Wick,An assassin comes out of retirement to get revenge.,action|crime|thriller,assassin|revenge|action|neo-noir
4,Mission: Impossible - Fallout,An IMF agent must stop a terrorist plot while evading capture.,action|adventure|thriller,spy|impossible mission|action|espionage
5,Deadpool,A mercenary with a twisted sense of humor seeks revenge on his creator.,action|adventure|comedy,superhero|anti-hero|humor|irreverent
6,Wonder Woman,An Amazon warrior princess fights in World War I.,action|adventure|fantasy,superhero|amazon|female hero|action
7,Aquaman,The heir to the underwater kingdom must protect both sea and land.,action|adventure|fantasy,superhero|underwater|mythology|action
8,Black Panther,A king must confront an old enemy who threatens his kingdom.,action|adventure|sci-fi,superhero|african|action|vibranium
9,Captain America: The Winter Soldier,Steve Rogers must contend with an unexpected threat from his past.,action|adventure|sci-fi,superhero|political thriller|action|government
10,The Avengers,Superhero team must save Earth from an alien invasion.,action|adventure|sci-fi,superhero|team up|sci-fi|action
11,Iron Man,A billionaire creates a suit of armor to fight crime.,action|adventure|sci-fi,superhero|technology|action|genius
12,Spider-Man: Homecoming,A teenager balances school life with superhero duties.,action|adventure|comedy|sci-fi,superhero|teen|action|coming-of-age
13,Thor,A God of Thunder is banished to Earth and must prove himself.,action|adventure|fantasy,superhero|mythology|action|power
14,Doctor Strange,A surgeon discovers mystical powers and becomes a protector.,action|adventure|fantasy,superhero|magic|mystical|action
15,Fast & Furious 7,Criminals race to complete one final heist.,action|adventure|crime,racing|heist|family|action
16,Kingsman: The Secret Service,A street kid is recruited by a secret intelligence agency.,action|adventure|comedy,spy|action|stylish|intelligence
17,Atomic Blonde,An MI6 agent goes undercover during the Cold War.,action|crime|drama|thriller,spy|action|female hero|cold war
18,Kill Bill Vol. 1,A bride seeks revenge against those who betrayed her.,action|crime|drama,revenge|action|samurai|tarantino
19,The Raid,Elite SWAT members fight their way up a building full of criminals.,action|crime|thriller,martial arts|action|indonesian|intense
20,RoboCop,A police officer is transformed into a cyborg law enforcer.,action|crime|sci-fi|thriller,cyborg|sci-fi|action|dystopian
21,The Shawshank Redemption,"Two imprisoned men bond over decades, finding redemption.",drama|crime,prison|innocence|hope|friendship
22,The Godfather,An organized crime dynasty transfers control to the youngest son.,crime|drama,mafia|family|power|organized crime
23,Schindler's List,An industrialist saves Polish-Jewish refugees from the Holocaust.,drama|history|war,holocaust|genocide|rescuer|world war ii
24,Pulp Fiction,"Multiple stories of criminals, boxers, and gangsters intertwine.",crime|drama,multiple storylines|dialogue|violence|redemption
25,Forrest Gump,A man's life intersects with major events in American history.,drama|romance,life|destiny|historical events|family
26,Life is Beautiful,A father shields his son from the horrors of a concentration camp.,drama|family|history|war,holocaust|humor|father|love
27,Slumdog Millionaire,A street kid from the slums is one question away from winning big.,drama|romance,india|slums|love|destiny
28,Parasite,A poor family infiltrates a wealthy household.,drama|thriller,class conflict|dark comedy|korean|social
29,Moonlight,A young man confronts his identity across three timelines.,drama,identity|lgbtq|coming-of-age|poetic
30,Brokeback Mountain,Two cowboys keep their relationship secret over decades.,drama|romance,lgbtq|western|love|tragedy
31,12 Years a Slave,A free man is kidnapped and sold into slavery.,drama|history,slavery|american south|survival|true story
32,The Help,A journalist documents the stories of African-American maids.,drama|history,racism|1960s|american south|female empowerment
33,Hidden Figures,African-American mathematicians work on the space program.,biography|drama|history,space|racism|mathematics|women in science
34,Spotlight,Journalists investigate child abuse by Catholic priests.,crime|drama|history,journalism|investigation|institutional abuse|true story
35,Manchester by the Sea,A man returns home to take custody of his nephew.,drama,grief|family|coming-of-age|emotional
36,La La Land,A pianist and actress fall in love while pursuing dreams.,comedy|drama|music|romance,musical|los angeles|dreams|romance
37,Moonrise Kingdom,Two young lovers run away together in a whimsical adventure.,adventure|comedy|drama|family|romance,coming-of-age|whimsy|young love|wes anderson
38,The Grand Budapest Hotel,A concierge and lobby boy navigate the changing times.,adventure|comedy|crime|drama,wes anderson|heist|adventure|colorful
39,Whiplash,A drummer pursues perfection at an elite music academy.,drama|music,obsession|pursuit of excellence|jazz|intense
40,La Haine,Three friends navigate racial tensions in the Paris suburbs.,crime|drama,french cinema|class conflict|race|social commentary
41,Singin' in the Rain,A performer and dancer fall in love while promoting a film.,comedy|musical|romance,musical|romance|dancing|classic cinema
42,Some Like It Hot,Two musicians disguise themselves as women to escape gangsters.,comedy|crime|musical|romance,disguise|classic|romance|slapstick
43,Breakfast at Tiffany's,A woman becomes a wealthy man's muse in New York.,comedy|drama|romance,romance|new york|fashion|audrey hepburn
44,Roman Holiday,A princess escapes and falls in love with a journalist.,comedy|drama|romance,romance|italy|princess|classic cinema
45,Casablanca,A café owner helps a couple escape while rekindling romance.,drama|romance|war,world war ii|sacrifice|nostalgia|classic
46,The Pink Panther,A bumbling inspector pursues a jewel thief across Europe.,comedy|crime,slapstick|inspector clouseau|jewel heist|physical comedy
47,It's a Wonderful Life,An angel shows a suicidal man how valuable his life is.,comedy|drama|family,holiday|angel|life reflection|heartwarming
48,Ferris Bueller's Day Off,A high school student plays hooky with friends.,comedy|drama|teen,high school|adventure|coming-of-age|comedy
49,The Breakfast Club,Five students spend detention together and bond.,comedy|drama,high school|youth|social commentary|friendship
50,Back to the Future,A teenager is sent back in time and must fix his parents' romance.,comedy|sci-fi,time travel|fish out of water|adventure|humor
51,Mrs. Doubtfire,A man disguises himself as a woman to spend time with his kids.,comedy|drama|family,disguise|divorce|children|robin williams
52,Home Alone,A young boy protects his house from burglars.,comedy|family,christmas|burglars|kid protagonist|slapstick
53,Elf,A human raised by elves travels to New York City.,comedy|drama|family|fantasy,christmas|fish out of water|heartwarming|comedic
54,Ghostbusters,Four men hunt supernatural entities in New York.,comedy|fantasy|sci-fi,supernatural|ghosts|humor|action
